name,uni_roll,branch
Jennifer Allen,UNI000387,CHE
Carlos Houston,UNI000388,CE
Patrick Stewart,UNI000389,ECE
Richard James,UNI000390,CSE
Brenda Russell,UNI000391,CHE
Brandon Perez,UNI000392,BT
Jacqueline Wong,UNI000393,BT
Diana Nguyen,UNI000394,BT
Mr. Ryan Cox,UNI000395,EE
Jodi Tran,UNI000396,PHM
Miss Melinda Brooks MD,UNI000397,CHE
Melissa Bartlett,UNI000398,BT
Karen Rivera,UNI000399,CSE
Lisa Anderson,UNI000400,CE
Stacy Moore,UNI000401,PHM
Lisa Collins,UNI000402,CHE
Stephanie Gordon,UNI000403,CE
Amanda Scott,UNI000404,CSE
Carolyn Cruz,UNI000405,CSE
Ryan Murphy,UNI000406,CHE
Zachary Long,UNI000407,EE
Denise Mcdonald,UNI000408,EE
Alicia Andrews,UNI000409,ECE
Jodi Nguyen,UNI000410,ECE
Maria Wilson,UNI000411,ECE
Carl Washington,UNI000412,EE
Joseph Smith,UNI000413,BT
April Jones,UNI000414,CHE
Crystal Mejia,UNI000415,PHM
Nicholas Bonilla,UNI000416,ECE
Andrew Morris,UNI000417,PHM
Timothy Reed,UNI000418,CE
Brian Davis,UNI000419,CHE
Eric Aguirre,UNI000420,CSE
Richard Travis,UNI000421,PHM
Shane Hess,UNI000422,BT
Andrew Kane,UNI000423,BT
Toni Johnson,UNI000424,ECE
Andrew Smith,UNI000425,CHE
Henry Bishop,UNI000426,BT
Carlos Young,UNI000427,EE
Tamara Bailey,UNI000428,CHE
Kevin Price,UNI000429,EE
Jeffrey Dodson,UNI000430,EE
Sheila Lewis,UNI000431,PHM
Michelle Brooks,UNI000432,CE
Kimberly James,UNI000433,BT
Robert Gonzalez,UNI000434,BT
Allison Castro,UNI000435,CE
Darren Sawyer,UNI000436,PHM
Tonya Wilson,UNI000437,ECE
Elijah Perez,UNI000438,EE
Thomas Valdez,UNI000439,ECE
Janet Snyder,UNI000440,ME
Lauren Gomez,UNI000441,ECE
Angela Kelley,UNI000442,CSE
Emily Foster,UNI000443,PHM
Thomas Edwards,UNI000444,ME
Adam Hancock,UNI000445,BT
William Allen,UNI000446,CHE
Kimberly Owens,UNI000447,CE
David Turner,UNI000448,CSE
Stephen Bush,UNI000449,ECE
Michael Solis,UNI000450,CHE
Gregory Sandoval,UNI000451,EE
Desiree Harrison,UNI000452,BT
Jacqueline Brown,UNI000453,BT
Elizabeth Smith,UNI000454,BT
Christina Mckinney,UNI000455,CHE
Wayne Lewis,UNI000456,CSE
Michael Ramos,UNI000457,BT
Richard Gonzales,UNI000458,EE
Steven Irwin,UNI000459,ME
Alex Choi,UNI000460,CSE
Adam Mitchell,UNI000461,PHM
Sandy Page,UNI000462,ECE
Frederick Beck DVM,UNI000463,ECE
Elizabeth Rodriguez,UNI000464,ECE
Kevin Jacobs,UNI000465,BT
Elizabeth Grant,UNI000466,ECE
Dana Lawrence,UNI000467,ECE
Jennifer Gomez,UNI000468,EE
Amanda Hall,UNI000469,ME
Mr. Donald Jones Jr.,UNI000470,CHE
Adam Quinn,UNI000471,CHE
Suzanne Wang,UNI000472,CE
Joseph Garza,UNI000473,CSE
Karen Rose,UNI000474,EE
Laura Gordon,UNI000475,CHE
Jennifer Johnson,UNI000476,ECE
Carly Spencer,UNI000477,PHM
Joshua Daugherty,UNI000478,PHM
Jonathan Hill,UNI000479,ME
Brandon Mcintosh,UNI000480,CSE
Joanne Nelson,UNI000481,EE
Tammy Dixon,UNI000482,ECE
Edward Brown,UNI000483,PHM
Edward Hall,UNI000484,ME
Robert Miller,UNI000485,CE
Aaron Cochran,UNI000486,BT
Ann Alexander,UNI000487,CE
Thomas Washington,UNI000488,CHE
Nancy Tyler,UNI000489,CHE
Gene Shelton,UNI000490,CHE
Tony Simpson,UNI000491,ME
Andrew Moore,UNI000492,ECE
Sarah Black,UNI000493,EE
Jennifer Dixon,UNI000494,EE
Brent Fischer,UNI000495,BT
Elizabeth Mays,UNI000496,CSE
Patrick Gardner,UNI000497,CE
Cynthia Johnson,UNI000498,CHE
Jay Underwood,UNI000499,ME
Ashley Mccarty,UNI000500,CE
David Barber,UNI000501,CE
Tracy Lopez,UNI000502,CHE
Susan Graves,UNI000503,PHM
Tonya Johnson,UNI000504,PHM
Justin Hendricks,UNI000505,ME
Tina Hendricks,UNI000506,CSE
Gerald Peterson,UNI000507,CSE
Dawn Gonzalez,UNI000508,EE
Kimberly Smith,UNI000509,BT
Lauren Love,UNI000510,ECE
Madeline Griffin,UNI000511,CHE
Vanessa Soto,UNI000512,BT
John Wilson,UNI000513,CE
Jessica Rodriguez,UNI000514,BT
Judy Escobar DDS,UNI000515,CHE
Nancy Johnson,UNI000516,CE
Michael Nunez,UNI000517,PHM
Norma Hawkins,UNI000518,ME
Jody Cunningham,UNI000519,EE
Jacob Mack,UNI000520,BT
Jacqueline Obrien,UNI000521,CE
Felicia Murphy,UNI000522,ME
Katie Blair,UNI000523,CHE
Diana Harris,UNI000524,ECE
Terry Miller,UNI000525,ECE
Heather Glenn,UNI000526,ECE
Paul Marks,UNI000527,CHE
Dawn Villarreal,UNI000528,ME
Danielle Edwards,UNI000529,EE
Taylor Parsons,UNI000530,PHM
Henry Mccarthy,UNI000531,ME
Mark Barker,UNI000532,ECE
Tim Arnold,UNI000533,ECE
Brian Taylor,UNI000534,ECE
Shelby Perez,UNI000535,BT
Roger Bradley,UNI000536,BT
Danny Fox,UNI000537,PHM
Brandon Valenzuela,UNI000538,CE
Lisa Boone,UNI000539,EE
Tina Hernandez,UNI000540,ME
Steven Ortiz,UNI000541,PHM
Elizabeth Miller MD,UNI000542,BT
Lacey Martinez,UNI000543,ME
Travis Hoffman,UNI000544,CE
Courtney Kelly,UNI000545,ECE
Alexander Rodriguez,UNI000546,PHM
Leonard Key,UNI000547,EE
Vanessa Wyatt,UNI000548,ME
Shannon Mathews,UNI000549,ECE
Amanda Johnson,UNI000550,PHM
Jamie Collins,UNI000551,ME
Tracy Shaffer,UNI000552,ECE
Dawn Jones,UNI000553,CSE
Paul Watson,UNI000554,PHM
Timothy Williams,UNI000555,PHM
Darren Martinez,UNI000556,CE
Sean Rosales,UNI000557,PHM
Tiffany White,UNI000558,PHM
Anthony Stewart,UNI000559,CSE
Amanda Moore,UNI000560,ECE
Marcus Bush,UNI000561,BT
Tiffany Hicks MD,UNI000562,BT
Carl Ramos,UNI000563,ME
Diana Garcia DVM,UNI000564,CSE
Rebecca Waters,UNI000565,ECE
Jason Mitchell,UNI000566,PHM
Brian Kennedy,UNI000567,ECE
Tina George,UNI000568,PHM
Edwin Johnson,UNI000569,ECE
Brandon Olsen,UNI000570,CE
Caroline Miller,UNI000571,BT
Sheri Powell,UNI000572,PHM
Michael Fox Jr.,UNI000573,EE
Laura Stewart,UNI000574,BT
Caroline Jones,UNI000575,CE
Mr. Matthew Barrett,UNI000576,BT
Mark Lee Jr.,UNI000577,BT
Ashley Wilson,UNI000578,CE
Joshua Johnson,UNI000579,ME
Robert Fernandez,UNI000580,CE
Barry Thomas,UNI000581,ME
Cassandra Gutierrez,UNI000582,CSE
James Davis,UNI000583,ECE
Brandon Ferguson DDS,UNI000584,CHE
Jonathan Park,UNI000585,CSE
Sara Anderson,UNI000586,CE
Zachary Simmons,UNI000587,CSE
William Hull PhD,UNI000588,CE
James Rivera,UNI000589,EE
Kyle Wade,UNI000590,CE
David Campbell,UNI000591,CE
Kimberly Hatfield,UNI000592,EE
David Brown,UNI000593,BT
Michael Robinson,UNI000594,ME
Donna Perkins,UNI000595,EE
Roy Burns,UNI000596,PHM
Elizabeth Lambert,UNI000597,CHE
Lindsay Anthony,UNI000598,CSE
Devin Haynes,UNI000599,BT
Kelly Miller,UNI000600,ECE
Judy Fleming,UNI000601,PHM
Dustin Kelley,UNI000602,CE
Jessica Davis,UNI000603,BT
Tanya Green,UNI000604,PHM
Diana Hernandez,UNI000605,ME
Marcus Sanford,UNI000606,PHM
Kimberly Fuller,UNI000607,EE
Larry Hensley,UNI000608,CE
Janice Hardy,UNI000609,PHM
Luke Irwin,UNI000610,CHE
Cynthia Jennings,UNI000611,ME
Daniel Rodriguez,UNI000612,EE
Ronnie Lopez,UNI000613,ECE
Julia Rose,UNI000614,ECE
Jesus Lewis,UNI000615,PHM
Mike Smith,UNI000616,BT
Ann Johnson,UNI000617,BT
Kristin Farmer,UNI000618,PHM
Bryan Ryan,UNI000619,PHM
Tristan Huerta,UNI000620,BT
Steven Jones,UNI000621,PHM
Beth Barnes,UNI000622,CE
Ronald Jones,UNI000623,CE
Elizabeth Petty,UNI000624,BT
Hunter Martinez,UNI000625,CE
Jon Bush,UNI000626,BT
Juan Wang,UNI000627,PHM
Meagan Walters,UNI000628,PHM
Kristin Smith,UNI000629,PHM
Randy Blevins,UNI000630,CHE
Cory Myers,UNI000631,PHM
Brittany Peters,UNI000632,PHM
Derrick Chambers,UNI000633,BT
Carolyn Hernandez,UNI000634,ECE
Karen Stevenson,UNI000635,CHE
Stacey Hayes,UNI000636,CHE
Mark Smith,UNI000637,ME
Jane Dominguez,UNI000638,CHE
Ashley Davis,UNI000639,CE
Bryan Lopez,UNI000640,CHE
Amanda Duffy,UNI000641,ECE
Joseph Wiley,UNI000642,CE
Michael Gilbert,UNI000643,CE
Haley Sullivan,UNI000644,CHE
Brianna Sparks,UNI000645,ME
Andrew Mills,UNI000646,ME
Chad Rivera,UNI000647,EE
Susan Hayes,UNI000648,CE
Russell Schaefer,UNI000649,BT
Johnny Snow,UNI000650,CE
Anne Evans,UNI000651,ECE
Gabriel Henderson,UNI000652,ECE
Gary Garner,UNI000653,ME
Donald Huang,UNI000654,EE
Rebecca Jackson,UNI000655,BT
Bradley Mayo,UNI000656,PHM
Paul Jenkins,UNI000657,CHE
Diana Hampton,UNI000658,EE
Andrea Zimmerman,UNI000659,ME
James Powers,UNI000660,CHE
Amber Ayala,UNI000661,CHE
Gary Walter,UNI000662,BT
Leslie Allen,UNI000663,ME
Joshua Johnson,UNI000664,PHM
Jade Campbell,UNI000665,ECE
Kari Tucker,UNI000666,EE
Jack Jennings,UNI000667,CE
Timothy Sutton,UNI000668,BT
Ashlee Hancock,UNI000669,CHE
Edward Lewis,UNI000670,PHM
Julie Johnson,UNI000671,ME
Kerry Skinner,UNI000672,PHM
Donald Gay,UNI000673,ME
David Conner,UNI000674,CSE
Victoria Patel,UNI000675,CE
Rick Horton,UNI000676,PHM
Stephen Guzman,UNI000677,ECE
James Thompson,UNI000678,CSE
Sherri Contreras,UNI000679,ECE
Ariel Miller,UNI000680,CHE
Anthony Jones,UNI000681,EE
Michael Garrett,UNI000682,BT
Anthony Crawford DDS,UNI000683,PHM
Victor Butler,UNI000684,BT
Michael Bradley,UNI000685,ME
Elizabeth Woodard,UNI000686,CHE
Jessica Ramirez,UNI000687,CE
Jessica Jackson,UNI000688,EE
Erika Brooks,UNI000689,PHM
Douglas Henderson,UNI000690,ECE
Brenda Key,UNI000691,ME
Sarah Manning,UNI000692,CHE
Derek Combs,UNI000693,CSE
Dr. Marc Waters,UNI000694,CE
Greg Walters,UNI000695,CSE
Jessica Chandler,UNI000696,CHE
Justin Perkins,UNI000697,EE
Eric Hernandez,UNI000698,CE
Todd Harris,UNI000699,CSE
Ashley Dixon,UNI000700,EE
Travis Wise,UNI000701,CSE
Shannon Hoffman,UNI000702,EE
William Sparks,UNI000703,PHM
Emily Nelson,UNI000704,CE
Barbara Cortez,UNI000705,PHM
Mark Sanchez,UNI000706,CHE
Sarah Hayden,UNI000707,CSE
Carolyn Mccarthy,UNI000708,ECE
Leslie Wilson,UNI000709,PHM
Marissa Fisher,UNI000710,ME
Michael Montgomery,UNI000711,CE
Jose Matthews,UNI000712,CE
Nicholas Castillo,UNI000713,EE
Heidi Mcbride,UNI000714,CHE
Leon Lawson,UNI000715,PHM
Denise Strickland,UNI000716,PHM
Cory Brown,UNI000717,ECE
Matthew Marshall,UNI000718,ECE
Michael Hatfield,UNI000719,CE
John Thompson,UNI000720,BT
Raven Wilson,UNI000721,ECE
Dennis Hall,UNI000722,CSE
Jason Bradshaw,UNI000723,CHE
Alexandra Morrison,UNI000724,EE
Amy Mosley,UNI000725,CE
Dakota Juarez,UNI000726,CE
Holly Young,UNI000727,BT
Mary Montgomery,UNI000728,PHM
Michelle Thomas,UNI000729,ECE
David Hayes,UNI000730,ECE
Renee Owens,UNI000731,PHM
Jennifer Payne,UNI000732,PHM
Jessica Crawford,UNI000733,CSE
Jessica Gray,UNI000734,EE
John Hernandez,UNI000735,BT
Anthony Hawkins,UNI000736,ME
Judy Lin,UNI000737,ME
Justin Black,UNI000738,ME
Joy Howell,UNI000739,CHE
John Kelley,UNI000740,PHM
Sarah Pace,UNI000741,ME
Jessica Lindsey,UNI000742,EE
Sheila Marquez,UNI000743,CHE
Denise Castillo,UNI000744,EE
James Hahn,UNI000745,CSE
Justin Miranda,UNI000746,ECE
Kevin Barrett,UNI000747,ECE
Megan Sanchez,UNI000748,PHM
Valerie Collins,UNI000749,BT
Autumn Bradshaw,UNI000750,ME
Dr. Aaron Moore,UNI000751,BT
Aaron Miller,UNI000752,CE
Cindy Mercer,UNI000753,PHM
Marcus Pruitt,UNI000754,PHM
Melissa Atkinson,UNI000755,PHM
Carlos Woods,UNI000756,ECE
Johnny Orozco,UNI000757,EE
Robert Duncan,UNI000758,ME
Monica Mcknight,UNI000759,PHM
Theresa Hunter,UNI000760,BT
John Gibbs,UNI000761,ME
Leah Roach,UNI000762,EE
Brett Campbell,UNI000763,BT
Erin Valdez,UNI000764,CHE
Jennifer Davis,UNI000765,ME
Karen Galloway,UNI000766,PHM
Mary Campbell,UNI000767,ME
Timothy Ramirez,UNI000768,BT
Harry Zamora,UNI000769,CSE
Jessica Thomas,UNI000770,EE
Mary Welch,UNI000771,CSE
Karen Scott,UNI000772,CE
Tyler Williams,UNI000773,CSE
Sharon Huynh,UNI000774,BT
Richard Goodman,UNI000775,EE
Virginia Maddox,UNI000776,BT
Tabitha Cantu,UNI000777,EE
Bianca Miller,UNI000778,CE
